project_name,project_type,city,latitude_x,longitude_x,land_area_m2,built_up_area_m2,floors,rooms,daily_water_m3,daily_waste_kg,hazardous_waste_kg_per_month,avg_noise_db,distance_to_residential_m,vegetation_removed_percent,near_sensitive_zone,vehicles_per_day,fuel_consumption_l_per_day,nearest_city_aqi,distance_to_water_body_km,impact_class_numeric,impact_label,state,latitude_y,longitude_y,aqi,pm25,pm10,no2,so2,co_mg_m3,o3,added_pm25,added_no2,added_co,dg_pm25,dg_no2,dg_so2,dg_co,construction_pm10,final_pm25,final_pm10,final_no2,final_so2,final_co
Skyline Tower,Residential,Delhi,28.65,77.15,5000,35000,25,120,45.5,120.5,15.0,75,50,40,0,500,120.0,350,5.2,2,High,Delhi,28.7041,77.1025,350.0,250.0,320.0,80.0,20.0,2.5,45.0,0.25,1.0,10.0,0.24,2.4,0.48,0.6,4.8999999999999995,299.0,810.0,420.0,68.0,3.56
Green Valley Villa,Residential,Bengaluru,12.98,77.6,1200,800,2,10,3.5,15.0,2.0,45,200,10,0,10,5.0,90,2.5,0,Low,Karnataka,12.9716,77.5946,90.0,45.0,70.0,30.0,10.0,0.8,25.0,0.005,0.02,0.2,0.01,0.1,0.02,0.025,0.08800000000000001,46.5,78.8,42.0,12.0,0.8225
Tech Park Alpha,Commercial,Noida,28.55,77.35,15000,60000,12,300,150.0,450.0,80.0,80,100,60,1,1200,350.0,360,1.5,2,High,Uttar Pradesh,28.5355,77.391,360.0,260.0,330.0,85.0,22.0,2.8,48.0,0.6,2.4,24.0,0.7,7.0,1.4,1.75,9.600000000000001,390.0,1290.0,1025.0,162.0,5.375
Lakeview Apartments,Residential,Hyderabad,17.4,78.45,8000,40000,15,200,80.0,250.0,30.0,65,80,30,1,300,80.0,105,0.8,2,High,Telangana,17.385,78.4867,105.0,55.0,85.0,35.0,12.0,1.0,28.0,0.15,0.6,6.0,0.16,1.6,0.32,0.4,5.2,86.0,605.0,255.00000000000003,44.0,1.6400000000000001
City Mall,Commercial,Mumbai,19.1,72.9,20000,100000,6,500,300.0,1200.0,200.0,85,40,80,0,3000,600.0,150,4.0,2,High,Maharashtra,19.076,72.8777,150.0,85.0,120.0,45.0,15.0,1.2,30.0,1.5,6.0,60.0,1.2,12.0,2.4,3.0,18.0,355.0,1920.0,1845.0,255.0,7.500000000000001
Sunshine School,Institutional,Pune,18.55,73.88,10000,5000,3,40,15.0,50.0,5.0,50,150,20,0,80,20.0,110,3.0,1,Moderate,Maharashtra,18.5204,73.8567,110.0,60.0,90.0,40.0,14.0,1.1,32.0,0.04,0.16,1.6,0.04,0.4,0.08,0.1,0.6,68.0,150.0,96.0,22.0,1.27
Riverside Resort,Commercial,Kochi,9.95,76.28,25000,8000,2,50,40.0,100.0,10.0,55,500,15,1,50,30.0,70,0.1,1,Moderate,Kerala,9.9312,76.2673,70.0,35.0,55.0,25.0,8.0,0.6,20.0,0.025,0.1,1.0,0.06,0.6,0.12,0.15,0.9199999999999999,43.5,147.0,95.0,20.0,0.715
Industrial Unit X,Industrial,Chennai,13.15,80.2,4000,3000,1,8,25.0,500.0,300.0,90,500,90,0,150,400.0,85,6.0,2,High,Tamil Nadu,13.0827,80.2707,85.0,42.0,65.0,28.0,12.0,0.9,28.0,0.075,0.3,3.0,0.8,8.0,1.6,2.0,0.57,129.5,122.0,858.0000000000001,172.0,1.4
Community Center,Public,Jaipur,26.95,75.8,2000,1500,2,10,5.0,20.0,1.0,60,100,5,0,20,10.0,190,4.5,0,Low,Rajasthan,26.9124,75.7873,190.0,110.0,180.0,55.0,15.0,1.6,40.0,0.01,0.04,0.4,0.02,0.2,0.04,0.05,0.1575,113.0,195.75,79.0,19.0,1.645
Metro Station Depot,Infrastructure,Kolkata,22.6,88.4,50000,5000,1,20,50.0,200.0,50.0,95,300,70,0,50,200.0,180,2.0,2,High,West Bengal,22.5726,88.3639,180.0,100.0,160.0,55.0,18.0,1.5,35.0,0.025,0.1,1.0,0.4,4.0,0.8,1.0,0.85,142.5,245.0,464.99999999999994,98.0,1.7
Eco Friendly Home,Residential,Visakhapatnam,17.7,83.25,500,300,2,4,1.2,4.0,0.5,40,50,5,0,2,1.0,95,1.5,0,Low,Andhra Pradesh,17.6868,83.2185,95.0,50.0,80.0,32.0,10.0,0.9,26.0,0.001,0.004,0.04,0.002,0.02,0.004,0.005,0.03150000000000001,50.3,83.15,34.4,10.4,0.9045
Highway Motel,Commercial,Lucknow,26.9,80.98,3000,2000,3,30,12.0,40.0,5.0,70,1000,40,0,100,50.0,280,5.0,1,Moderate,Uttar Pradesh,26.8467,80.9462,280.0,180.0,240.0,65.0,18.0,2.0,50.0,0.05,0.2,2.0,0.1,1.0,0.2,0.25,0.27999999999999997,195.0,268.0,185.0,38.0,2.225
Luxury Hotel,Commercial,Udaipur,24.58,73.71,15000,25000,8,150,120.0,300.0,40.0,60,200,30,1,200,90.0,100,0.5,2,High,,,,,,,,,,,0.1,0.4,4.0,0.18,1.8,0.36,0.45,3.25,,,,,
Small Clinic,Institutional,Kanpur,26.46,80.35,600,800,3,15,8.0,25.0,10.0,55,20,0,0,40,15.0,300,3.0,1,Moderate,Uttar Pradesh,26.4499,80.3319,300.0,200.0,260.0,70.0,19.0,2.2,52.0,0.02,0.08,0.8,0.03,0.3,0.06,0.075,0.08,205.0,268.0,108.0,25.0,2.2875
IT Office,Commercial,Indore,22.75,75.9,5000,15000,7,80,30.0,80.0,8.0,65,80,20,0,250,60.0,120,4.0,1,Moderate,Madhya Pradesh,22.7196,75.8577,120.0,70.0,100.0,42.0,13.0,1.3,34.0,0.125,0.5,5.0,0.12,1.2,0.24,0.3,1.7999999999999998,94.5,280.0,212.0,37.0,1.83
Warehouse,Industrial,Bhopal,23.3,77.45,10000,9000,1,5,5.0,50.0,10.0,75,1000,50,0,80,150.0,130,5.5,1,Moderate,Madhya Pradesh,23.2599,77.4126,130.0,75.0,110.0,44.0,14.0,1.4,35.0,0.04,0.16,1.6,0.3,3.0,0.6,0.75,1.35,109.0,245.0,360.0,74.0,1.635
Public Park Renovation,Public,Patna,25.61,85.15,30000,500,0,0,50.0,30.0,2.0,50,50,10,1,10,5.0,310,1.0,1,Moderate,Bihar,25.5941,85.1376,310.0,210.0,270.0,72.0,21.0,2.4,54.0,0.005,0.02,0.2,0.01,0.1,0.02,0.025,0.05500000000000001,211.5,275.5,84.0,23.0,2.4225
University Campus,Institutional,Varanasi,25.26,82.99,200000,80000,5,500,400.0,1000.0,150.0,65,500,40,0,800,180.0,260,1.2,2,High,Uttar Pradesh,25.3176,82.9739,260.0,170.0,230.0,60.0,16.0,1.8,48.0,0.4,1.6,16.0,0.36,3.6,0.72,0.9,11.2,246.0,1350.0,580.0,88.0,3.49
Slum Rehab Project,Residential,Ahmedabad,23.05,72.6,10000,50000,15,600,180.0,600.0,50.0,80,10,20,0,150,40.0,160,3.5,1,Moderate,Gujarat,23.0225,72.5714,160.0,90.0,140.0,50.0,16.0,1.4,36.0,0.075,0.3,3.0,0.08,0.8,0.16,0.2,6.0,105.5,740.0,160.0,32.0,1.72
Farmhouse,Residential,Chandigarh,30.76,76.82,8000,1000,1,6,3.0,10.0,1.0,40,2000,5,0,5,2.0,95,0.2,0,Low,,,,,,,,,,,0.0025,0.01,0.1,0.004,0.04,0.008,0.01,0.10500000000000001,,,,,
